study_id,dominance_metric,dominance_metric_agg,citation_for_dominance_metric_if_not_introduced_in_this_paper
Quera 2023,egalitarian leadership index,egalitarian leadership index,Collignon et al 2019
Mielke 2020,focal observations,focal observations,
Hrolenok 2014,dominance measure,fleeing events,this paper
Amornbunchornvej 2018,leadership from movement initiations,movement initiations,this paper
Josephs 2016,ad libitum observations,focal observations,
Kano 2021,leadership rank as mean directional correlation delay,direction correlation delay,Nagy 2010
Heesen 2015,ad hoc observations,focal observations,
Sugiura 2011,ad libitum agonistic interactions,focal observations,
Biro 2006,proportion of paired flights led,proportion of paired flights led,
Dahl 2020,owner survey,survey,
Burns 2012,focal observation,focal observations,
Laube 2005,,spatially constrained trend-setter,
Sankey 2022,video,video observations,
Nishikawa 2014,ad libitum,focal observations,
Akos 2014,leadership hierarchy derived from directional correlation delay; dominance questionnaire,direction correlation delay; survey,
Nishikawa 2021,ad libitum,focal observations,
Sárová 2010,ad libitum,focal observations,
Krueger 2014,scan sampling behavioural data,focal observations,
Inoue 2019,ad hoc observations of aggression and grooming behaviours,focal observations,
Pimentel 2022,video observations,focal observations,
AssocCompMachinery 2018,fleeing event,fleeing events,this paper
Strandburg-Peshkin 2015,approach-avoidance; Elo scores,approach-avoidance events,Seyfarth 1976
Evans 2018,displacement events; directional consistency index,"displacement events, directional consistency index",this paper; DCI: van Hoof and Wensing 1978
Nagy 2013,feeding-queuing; approach-avoidance; manually scored agonistic interactions,feeding-queuing events; approach-avoidance events; focal observations,this paper
Bonnell 2017,ad hoc records of agonistic contest,focal observations,
Nagy 2010,hierachical leadership from directional correlation delay,direction correlation delay,this paper
Jolles 2017,leadership network,direction correlation delay,leadership network: Nagy 2010
Bracken 2022,focal observations,focal observations,
Flack 2018,directional correlation delay,direction correlation delay,Nagy 2010
