type,metric_agg,metric,citation,interpretation
metric,interindividual distance,interindividual distance,,
metric,directional correlation delay,directional correlation delay,,
metric,interindividual distance,IID,,
metric,nearest neighbour distance,nearest neighbour distance,,
metric,speed,speed,,
metric,interindividual distance,interindividual distances,,
metric,zones,zones,,
metric,direction,bearing,,
metric,Prox,Prox,,
metric,DI,DI,,
metric,nearest neighbour distance,mean nearest neighbour distance,,
metric,velocity,velocity,,
metric,Lixn,Lixn,,
metric,position within group,spatial position within group,,
metric,polarization,polarization,,
metric,acceleration,acceleration,,
metric,voronoi,voronoi,,
metric,distance to group centroid,distance to group centroid,,
metric,Don,Don,,
metric,HAI,HAI,,
metric,position within group,position within group,,
metric,distance to group centroid,distance from group center,,
metric,Cs,Cs,,
metric,group centroid,group centroid,,
metric,direction,direction,,
metric,relative angle,relative angle,,
metric,group velocity,velocity of group,,
metric,turning angle,turning angle,,
pattern,constance,constance,,
pattern,concurrence,concurrence,,
pattern,flock,flock,,
pattern,convergence,convergence,,
pattern,divergence,divergence,,
pattern,attraction,attraction,,
metric,interindividual distance,distance between individuals,,
metric,proximity,proximity,,
metric,distance,distance,,
metric,group direction,group direction,,
metric,interindividual distance,mean interindividual distance,,
metric,position within group,position along front-back axis,,
metric,distance,step length,,
metric,polarization,group polarization,,
metric,directional alignment,directional alignment,,
metric,zones,front region,,
metric,distance to leader,distance and bearing to leader,,
metric,direction to leader,distance and bearing to leader,,
metric,directional correlation delay,heading delay,,
metric,directional correlation delay,time dependent delayed directional correlation,,
metric,Don,Doncaster's,,
metric,Cr,correlation coefficient (Cr),,
metric,interindividual distance,proportion of fixes where dyad is interacting,,
metric,rank position within group,momentary leadership rank,,
metric,time spent leading group,duration of leadership episodes,,
metric,position within group,forefront index,,
metric,interindividual direction,relative angle between fish,,
metric,rank distance to group centroid,rank distance from group centroid,,
metric,entropy,entropy,,
metric,coefficient of sociality,coefficient of sociality,Poole 1995,dynamic interaction using the mean distances between simultaneous locations compared to the mean distances between unmatched pairs
metric,difference coefficient,difference coefficient,White and Harris 1994,compares the frequency of real s-t-matches and simulated s-t-matches based on different distance thresholds
metric,motion azimuth,motion azimuth,,
metric,speed,change of speed,,
pattern,turn,turn,,
pattern,opposition,opposition,,
pattern,dispersion,dispersion,,
pattern,trend setting,trendsetters,,
pattern,independent,independent,,
pattern,propagation,propagation,,
pattern,group turn,group turn,,
pattern,group concurrence,group concurrence,,
metric,group speed,median speed within group,,
metric,directional alignment,alignment,,
metric,distance to group centroid,median global radius,,
metric,nearest neighbour distance,mean kth nearest neighbour distance,,
metric,distance to group centroid,mean distance to center of mass,,
metric,distance to group centroid,distance to center of mass,,
metric,voronoi,voronoi tessellation area,,
metric,direction,orientation,,
metric,zones,repulsion zones,,
model,cross correlation,cross correlation,,
model,Granger causality,Granger causality,,
model,neural network model,deep interaction neural network model,,
metric,patch occupancy,patch occupancy,,
metric,interindividual distance,distance and direction between individuals,,
metric,interindividual direction,distance and direction between individuals,,
metric,zones,force map,,
model,mathematical model,mathematical model to extract social interactions from behavioural data,,
metric,route selection,leading/following behaviour,,
metric,path tortuosity,path tortuosity before encounter where NSD divided by total distance,,
metric,group cohesion,cohesion = greatest pairwise distance within a group,,
